bigram,count,doc_freq,rel_freq
emily dickinson,12,3,0.0007561436672967864
summer day,8,7,0.0005040957781978576
little boat,7,3,0.0004410838059231254
could see,7,7,0.0004410838059231254
little heart,7,3,0.0004410838059231254
human nature,6,6,0.0003780718336483932
never saw,6,4,0.0003780718336483932
little maid,6,4,0.0003780718336483932
life death,5,5,0.000315059861373661
come back,5,5,0.000315059861373661
many times,5,4,0.000315059861373661
wild nights,5,2,0.000315059861373661
little figure,5,2,0.000315059861373661
every day,5,4,0.000315059861373661
much joy,4,2,0.0002520478890989288
like look,4,4,0.0002520478890989288
'' '',4,3,0.0002520478890989288
bring thee,4,3,0.0002520478890989288
page renunciation,4,1,0.0002520478890989288
went abroad,4,4,0.0002520478890989288
'' said,4,3,0.0002520478890989288
see face,4,3,0.0002520478890989288
except heaven,4,3,0.0002520478890989288
never lost,4,3,0.0002520478890989288
hast thou,4,4,0.0002520478890989288
every bird,4,3,0.0002520478890989288
robin one,4,2,0.0002520478890989288
dropped like,4,2,0.0002520478890989288
wait till,4,3,0.0002520478890989288
one little,4,2,0.0002520478890989288
never know,4,3,0.0002520478890989288
life life,3,3,0.0001890359168241966
bells steeples,3,3,0.0001890359168241966
hour ago,3,3,0.0001890359168241966
could care,3,3,0.0001890359168241966
summer days,3,3,0.0001890359168241966
ii love,3,3,0.0001890359168241966
mine right,3,3,0.0001890359168241966
love heavenly,3,3,0.0001890359168241966
heavenly father,3,3,0.0001890359168241966
hide within,3,2,0.0001890359168241966
within flower,3,2,0.0001890359168241966
look back,3,3,0.0001890359168241966
iii nature,3,3,0.0001890359168241966
red upon,3,3,0.0001890359168241966
upon hill,3,3,0.0001890359168241966
keep sabbath,3,2,0.0001890359168241966
tolling bell,3,3,0.0001890359168241966
last year,3,3,0.0001890359168241966
one one,3,3,0.0001890359168241966
grass little,3,2,0.0001890359168241966
apple tree,3,3,0.0001890359168241966
something summer,3,2,0.0001890359168241966
night night,3,3,0.0001890359168241966
upon plain,3,3,0.0001890359168241966
boys girls,3,3,0.0001890359168241966
iv time,3,3,0.0001890359168241966
time eternity,3,3,0.0001890359168241966
delayed till,3,2,0.0001890359168241966
could stop,3,3,0.0001890359168241966
went thank,3,2,0.0001890359168241966
sea yet,3,3,0.0001890359168241966
setting sun,3,3,0.0001890359168241966
morning sun,3,3,0.0001890359168241966
know time,3,3,0.0001890359168241966
mabel loomis,3,2,0.0001890359168241966
loomis todd,3,2,0.0001890359168241966
white heat,3,3,0.0001890359168241966
sent friend,3,3,0.0001890359168241966
first robin,3,3,0.0001890359168241966
little bird,3,3,0.0001890359168241966
never hear,3,2,0.0001890359168241966
get home,3,2,0.0001890359168241966
heaven reach,3,3,0.0001890359168241966
heart would,3,3,0.0001890359168241966
'' till,3,3,0.0001890359168241966
night bells,3,3,0.0001890359168241966
know exists,3,3,0.0001890359168241966
next time,3,1,0.0001890359168241966
happy letter,3,2,0.0001890359168241966
speech like,3,2,0.0001890359168241966
distant sea,3,2,0.0001890359168241966
like bird,3,3,0.0001890359168241966
one could,3,3,0.0001890359168241966
keep secret,3,2,0.0001890359168241966
fly away,3,3,0.0001890359168241966
going heaven,3,2,0.0001890359168241966
like flakes,3,3,0.0001890359168241966
could find,3,3,0.0001890359168241966
little child,3,2,0.0001890359168241966
make bed,3,2,0.0001890359168241966
one need,3,2,0.0001890359168241966
guinea golden,3,3,0.0001890359168241966
grant may,3,3,0.0001890359168241966
since thou,3,2,0.0001890359168241966
heart forget,3,3,0.0001890359168241966
friend must,3,2,0.0001890359168241966
dear march,3,2,0.0001890359168241966
march come,3,2,0.0001890359168241966
long long,3,3,0.0001890359168241966
success counted,2,2,0.0001260239445494644
counted sweetest,2,2,0.0001260239445494644
share night,2,2,0.0001260239445494644
night bear,2,2,0.0001260239445494644
soul wilt,2,2,0.0001260239445494644
wilt thou,2,2,0.0001260239445494644
thou toss,2,2,0.0001260239445494644
joy much,2,2,0.0001260239445494644
glee great,2,2,0.0001260239445494644
great storm,2,2,0.0001260239445494644
stop one,2,2,0.0001260239445494644
one heart,2,2,0.0001260239445494644
heart breaking,2,2,0.0001260239445494644
shall live,2,1,0.0001260239445494644
live vain,2,1,0.0001260239445494644
within reach,2,2,0.0001260239445494644
way soft,2,2,0.0001260239445494644
wounded deer,2,2,0.0001260239445494644
deer leaps,2,2,0.0001260239445494644
leaps highest,2,2,0.0001260239445494644
lest anybody,2,2,0.0001260239445494644
heart asks,2,2,0.0001260239445494644
asks pleasure,2,2,0.0001260239445494644
pleasure first,2,2,0.0001260239445494644
precious mouldering,2,2,0.0001260239445494644
mouldering pleasure,2,2,0.0001260239445494644
much madness,2,2,0.0001260239445494644
madness divinest,2,2,0.0001260239445494644
divinest sense,2,2,0.0001260239445494644
